from_stop_id,to_stop_id,transfer_type,min_transfer_time
45280,45279,0,
45282,45281,0,
45284,45283,0,
45286,45285,0,
45290,45289,0,
45291,45289,0,
45291,45290,0,
45293,45292,0,
45297,45296,0,
45300,45299,0,
45302,45301,0,
45304,45303,0,
45306,45305,0,
45308,45307,0,
45310,45309,0,
45312,45311,0,
45315,45314,0,
45321,45320,0,
45322,45320,0,
45322,45321,0,
45323,45320,0,
45323,45321,0,
45323,45322,0,
45325,45324,0,
45327,45324,0,
45327,45325,0,
45327,45326,0,
45329,45328,0,
45332,45331,0,
45334,45333,0,
45336,45335,0,
45339,45338,0,
45341,45340,0,
45343,45342,0,
45345,45344,0,
45347,45342,0,
45347,45343,0,
45348,45343,0,
45348,45347,0,
45350,45349,0,
45352,45351,0,
45356,45355,0,
45358,45357,0,
45365,45364,0,
45369,45367,0,
45372,45371,0,
45374,45373,0,
45376,45375,0,
45377,45371,0,
45377,45372,0,
45378,45371,0,
45378,45372,0,
45378,45377,0,
45381,45380,0,
45385,45384,0,
45387,45386,0,
45389,45388,0,
45391,45390,0,
45393,45392,0,
45394,45392,0,
45395,45394,0,
45397,45396,0,
45399,45398,0,
45401,45400,0,
45402,45400,0,
45402,45401,0,
45405,45403,0,
45405,45404,0,
45407,45406,0,
45409,45408,0,
45411,45410,0,
45414,45413,0,
45416,45415,0,
45417,45415,0,
45417,45416,0,
45419,45418,0,
45422,45421,0,
45423,45421,0,
45423,45422,0,
45425,45424,0,
45427,45426,0,
45429,45428,0,
45430,45428,0,
45430,45429,0,
45431,45430,0,
45433,45432,0,
45434,45433,0,
45435,45433,0,
45435,45434,0,
45438,45437,0,
45440,45439,0,
45442,45441,0,
45443,45441,0,
45443,45442,0,
45444,45441,0,
45444,45442,0,
45444,45443,0,
45446,45445,0,
45448,45447,0,
45450,45449,0,
45452,45451,0,
45455,45454,0,
45456,45454,0,
45456,45455,0,
45459,45458,0,
45461,45460,0,
45463,45462,0,
45465,45464,0,
45467,45466,0,
45469,45468,0,
45470,45468,0,
45470,45469,0,
45473,45472,0,
45475,45474,0,
45477,45476,0,
45479,45478,0,
45481,45480,0,
45483,45482,0,
45485,45484,0,
45487,45486,0,
45490,45489,0,
45491,45488,0,
45492,45491,0,
45493,45492,0,
45495,45494,0,
45497,45496,0,
45499,45498,0,
45501,45500,0,
45503,45502,0,
45505,45504,0,
45507,45506,0,
45508,45504,0,
45508,45505,0,
45509,45504,0,
45509,45505,0,
45509,45508,0,
45511,45510,0,
45513,45512,0,
45515,45514,0,
45517,45516,0,
45519,45518,0,
45521,45520,0,
45522,45520,0,
45522,45521,0,
45523,45518,0,
45523,45519,0,
45523,45520,0,
45523,45521,0,
45523,45522,0,
45525,45524,0,
45526,45524,0,
45526,45525,0,
45527,45524,0,
45527,45525,0,
45527,45526,0,
45531,45530,0,
45533,45528,0,
45535,45534,0,
45538,45537,0,
45540,45539,0,
45542,45541,0,
45544,45543,0,
45546,45545,0,
45548,45547,0,
45550,45549,0,
45552,45551,0,
45555,45554,0,
45557,45556,0,
45558,45556,0,
45558,45557,0,
45560,45559,0,
45563,45562,0,
45566,45565,0,
45568,45567,0,
45570,45569,0,
45571,45569,0,
45571,45570,0,
45573,45572,0,
45576,45575,0,
45579,45578,0,
45581,45580,0,
45584,45583,0,
45586,45585,0,
45589,45588,0,
45591,45590,0,
45592,45582,0,
45593,45582,0,
45593,45592,0,
45594,45582,0,
45594,45592,0,
45594,45593,0,
45596,45595,0,
45598,45597,0,
45600,45599,0,
45607,45606,0,
45609,45608,0,
45611,45610,0,
45613,45612,0,
45615,45614,0,
45616,45612,0,
45616,45613,0,
45618,45617,0,
45620,45619,0,
45622,45621,0,
45624,45623,0,
45627,45626,0,
45629,45628,0,
45631,45630,0,
45633,45632,0,
45635,45634,0,
45638,45637,0,
45640,45639,0,
45642,45641,0,
45644,45643,0,
45646,45645,0,
45650,45649,0,
45652,45651,0,
45655,45654,0,
45656,45654,0,
45656,45655,0,
45657,45654,0,
45657,45655,0,
45657,45656,0,
45660,45659,0,
45661,45659,0,
45661,45660,0,
45662,45659,0,
45662,45660,0,
45662,45661,0,
45664,45663,0,
45666,45665,0,
45668,45667,0,
45672,45671,0,
45675,45674,0,
45677,45676,0,
45679,45678,0,
45683,45682,0,
45690,45689,0,
45691,45688,0,
45692,45688,0,
45693,45688,0,
45693,45691,0,
45693,45692,0,
45696,45695,0,
45698,45697,0,
45700,45699,0,
45702,45701,0,
45704,45703,0,
45705,45703,0,
45705,45704,0,
45709,45708,0,
45711,45710,0,
45713,45712,0,
45716,45715,0,
45719,45718,0,
45720,45718,0,
45720,45719,0,
45721,45717,0,
45722,45718,0,
45722,45719,0,
45722,45720,0,
45724,45723,0,
45727,45726,0,
45729,45728,0,
45734,45733,0,
45735,45733,0,
45735,45734,0,
45737,45734,0,
45737,45735,0,
45739,45738,0,
45742,45740,0,
45745,45744,0,
45747,45746,0,
45749,45748,0,
45752,45750,0,
45754,45753,0,
45756,45755,0,
45759,45758,0,
45761,45760,0,
45763,45762,0,
45766,45765,0,
45768,45767,0,
45770,45769,0,
45772,45769,0,
45772,45770,0,
45774,45773,0,
45776,45775,0,
45778,45777,0,
45782,45781,0,
45784,45783,0,
45787,45786,0,
45789,45788,0,
45791,45790,0,
45795,45794,0,
45797,45796,0,
