stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
27341,27341,"CENTRE",,49.2172052,6.0213484,,,1,,,
46215,5404747A,"MONTOIS-LA-MONTAGNE Centre",,49.2172482,6.0213901,,,0,27341,,
46216,5404748A,"MONTOIS-LA-MONTAGNE Centre",,49.2171492,6.0213851,,,0,27341,,
27520,27520,"RUE D AUDUN LE TICHE",,49.4906398,5.9213911,,,1,,,
46222,5404759A,"REDANGE Rue d'Audun",,49.4906113,5.9213921,,,0,27520,,
27522,27522,"DOUANE",,49.4989438,5.9179171,,,1,,,
46220,5404755A,"REDANGE Douane",,49.4989093,5.9179041,,,0,27522,,
27523,27523,"MAIRIE",,49.4930138,5.9194196,,,1,,,
46221,5404757A,"REDANGE Mairie",,49.4930193,5.9193491,,,0,27523,,
27609,27609,"MAIRIE",,49.4811018,5.9538396,,,1,,,
46224,5404763A,"RUSSANGE Mairie",,49.4810253,5.9538091,,,0,27609,,
27610,27610,"RUE PASTEUR",,49.4841698,5.9507756,,,1,,,
46223,5404761A,"RUSSANGE Rue Pasteur",,49.4841013,5.9507611,,,0,27610,,
27991,27991,"Place de Verdun",,48.3470859,6.632015,,,1,,,
46232,5404783A,"RAMBERVILLERS Place de Verdun",,48.3471169,6.631926,,,0,27991,,
27992,27992,"RAMBERVILLERS Route de Lunéville",,48.3520229,6.631573,,,1,,,
46231,5404782A,"RAMBERVILLERS Route de Lunéville",,48.3520229,6.631573,,,0,27992,,
27997,27997,"Mairie",,48.4374304,6.576376,,,1,,,
46071,5403950A,"SAINT-PIERREMONT TER Saint-Pierremont",,48.4374669,6.576396,,,0,27997,,
28215,28215,"Chateau",,49.4678838,5.9544526,,,1,,,
46117,5404272A,"AUDUN-LE-TICHE Château",,49.4678193,5.9545351,,,0,28215,,
28221,28221,"LONGUYON Canadiens 2",,49.4399013,5.5909241,,,1,,,
46176,5404676A,"LONGUYON Canadiens 2",,49.4399013,5.5909241,,,0,28221,,
28224,28224,"AUMETZ Collège Lionel Terray",,49.4236533,5.9476741,,,1,,,
46178,5404679A,"AUMETZ Collège Lionel Terray",,49.4236533,5.9476741,,,0,28224,,
28225,28225,"Nondkeil / Triangle",,49.4204863,6.0036206,,,1,,,
46201,5404712A,"OTTANGE Nondkeil Triangle",,49.4204843,6.0036211,,,0,28225,,
4703255,5731195A,"Nondkeil / Triangle",,49.4204883,6.0036201,,,0,28225,,
28934,28934,"Montaigne",,49.2146376,5.9815057,,,1,,,
44555,5400024A,"AUBOUE Montaigne",,49.2150472,5.9825991,,,0,28934,,
44556,5400025A,"AUBOUE Montaigne",,49.2149692,5.9825121,,,0,28934,,
29393,29393,"Fonds de Lavaux",,48.7785426,6.1307594,,,1,,,
45634,5401766A,"POMPEY Fond de Lavaux",,48.7788499,6.1309771,,,0,29393,,
45635,5401767A,"POMPEY Fond de Lavaux",,48.7780799,6.1308221,,,0,29393,,
57420,57420,"Port",,48.7349016,6.1669508,,,1,,,
45305,5401322A,"CHAMPIGNEULLES SUB Port",,48.7349359,6.1667171,,,0,57420,,
45306,5401323A,"CHAMPIGNEULLES SUB Port",,48.7348699,6.1671621,,,0,57420,,
57421,57421,"VEZELISE BEAUREGARD",,48.4889855,6.0935034,,,1,,,
46205,5404720A,"VEZELISE BEAUREGARD",,48.4890289,6.093777,,,0,57421,,
46206,5404721A,"VEZELISE BEAUREGARD",,48.4889439,6.0933911,,,0,57421,,
57631,57631,"MARS-LA-TOUR MARS LA TOUR - Lotissement",,49.0950417,5.8904326,,,1,,,
46202,5404715A,"MARS-LA-TOUR MARS LA TOUR - Lotissement",,49.0950252,5.8905141,,,0,57631,,
46203,5404716A,"MARS-LA-TOUR MARS LA TOUR - Lotissement",,49.0950582,5.8903511,,,0,57631,,
57632,57632,"BACCARAT Place des Arcades",,48.4502569,6.740256,,,1,,,
44825,5400696A,"BACCARAT Place des Arcades",,48.4502569,6.740256,,,0,57632,,
57633,57633,"HOUDELMONT FONTAINE",,48.5360049,6.0888101,,,1,,,
46204,5404719A,"HOUDELMONT FONTAINE",,48.5360049,6.0888101,,,0,57633,,
57635,57635,"LAY-SAINT-CHRISTOPHE Amezule",,48.7456774,6.2069196,,,1,,,
46207,5404722A,"LAY-SAINT-CHRISTOPHE Amezule",,48.7452649,6.2089191,,,0,57635,,
46208,5404723A,"LAY-SAINT-CHRISTOPHE Amezule",,48.7460899,6.2049201,,,0,57635,,
57636,57636,"CHATEAU-SALINS Place du ruisseau salé",,48.8213049,6.505696,,,1,,,
46034,5403060A,"CHATEAU-SALINS Place du ruisseau salé",,48.8213049,6.505696,,,0,57636,,
60504,60504,"CHANTEHEUX Bois d'en Haut",,48.5968329,6.542967,,,1,,,
44888,5400772A,"CHANTEHEUX Bois d'en Haut",,48.5968329,6.542967,,,0,60504,,
60505,60505,"BELLEAU Morey - Eglise",,48.8275389,6.1632691,,,1,,,
46209,5404725A,"BELLEAU Morey - Eglise",,48.8275389,6.1632691,,,0,60505,,
60508,60508,"NOMENY Collège",,48.8881942,6.2248931,,,1,,,
46024,5402821A,"NOMENY Collège",,48.8881942,6.2248931,,,0,60508,,
60514,60514,"CHATEAU-SALINS Gendarmerie",,48.8227439,6.509128,,,1,,,
46211,5404728A,"CHATEAU-SALINS Gendarmerie",,48.8228119,6.5089,,,0,60514,,
46212,5404729A,"CHATEAU-SALINS Gendarmerie",,48.8226759,6.509356,,,0,60514,,
61399,61399,"Grange aux Moines",,48.6677548,6.1469193,,,1,,,
45783,5401969A,"VILLERS-LES-NANCY STAN Saint Fiacre",,48.6680679,6.1471461,,,0,61399,,
45784,5401970A,"VILLERS-LES-NANCY STAN Saint Fiacre",,48.6674859,6.1467031,,,0,61399,,
61487,61487,"MALZEVILLE Lion d'Or",,48.7096559,6.1803911,,,1,,,
45532,5401625A,"MALZEVILLE Lion d'Or",,48.7096559,6.1803911,,,0,61487,,
61500,61500,"Campus Lettres",,48.6956027,6.1674329,,,1,,,
46241,6865942A,"NANCY - STAN Campus Lettres",,48.6956299,6.1675221,,,0,61500,,
46242,6865942B,"NANCY - STAN Campus Lettres",,48.6955109,6.1673561,,,0,61500,,
61774,61774,"CUSTINES SIT Guingot",,48.7922079,6.1432901,,,1,,,
45328,5401351A,"CUSTINES SIT Guingot",,48.7922079,6.1432901,,,0,61774,,
61892,61892,"SAXON-SION",,48.4284136,6.0850607,,,1,,,
45707,5401860A,"SAXON-SION SION Croisemt D53 /rue de la Paix",,48.4284089,6.08515,,,0,61892,,
46146,5404430A,"SAXON-SION SION Les Grands Champs",,48.4282379,6.085103,,,0,61892,,
61894,61894,"VEZELISE Rue Maréchal Foch",,48.4880659,6.0915741,,,1,,,
45772,5401945A,"VEZELISE Rue Maréchal Foch",,48.4880659,6.0915741,,,0,61894,,
61910,61910,"GOGNEY La Voise",,48.6132509,6.859865,,,1,,,
44989,5400895A,"GOGNEY La Voise",,48.6132509,6.859865,,,0,61910,,
61911,61911,"VILLARS Parking",,48.4539119,6.0594101,,,1,,,
45309,5401326A,"CHAOUILLEY ECART VILLARS Parking",,48.4539209,6.0594461,,,0,61911,,
45310,5401327A,"CHAOUILLEY - CHAOUILLEY ECART VILLARS Ferme isolée",,48.4539029,6.0593741,,,0,61911,,
61913,61913,"Marcel Poirot",,48.5819674,5.9426241,,,1,,,
45915,5402241A,"OCHEY Marcel Poirot",,48.5818599,5.9425911,,,0,61913,,
45916,5402242A,"OCHEY André David",,48.5820749,5.9426571,,,0,61913,,
64370,64370,"Gare SNCF",,48.6030137,6.1022124,,,1,,,
45641,5401778A,"PONT-SAINT-VINCENT T'MM Gare",,48.6030549,6.1022451,,,0,64370,,
45642,5401779A,"PONT-SAINT-VINCENT T'MM Gare",,48.6028479,6.1022461,,,0,64370,,
46066,5403700A,"PONT-SAINT-VINCENT Gare SNCF",,48.6030589,6.1021961,,,0,64370,,
65205,65205,"Varoquaux",,48.6973007,6.2153887,,,1,,,
